PlayerID,LastName,FirstName,Bats,Pitches,Team
ameza001,Amezaga,Alfredo,B,R,ANA
andeg001,Anderson,Garret,L,L,ANA
bergd003,Bergman,Dusty,L,L,ANA
colob001,Colon,Bartolo,R,R,ANA
davaj001,DaVanon,Jeff,B,R,ANA
donnb001,Donnelly,Brendan,R,R,ANA
dunns002,Dunn,Scott,R,R,ANA
ecksd001,Eckstein,David,R,R,ANA
erstd001,Erstad,Darin,L,L,ANA
escok001,Escobar,Kelvim,R,R,ANA
figgc001,Figgins,Chone,B,R,ANA
galaa001,Galarraga,Andres,R,R,ANA
glaut001,Glaus,Troy,R,R,ANA
gregk001,Gregg,Kevin,R,R,ANA
guerv001,Guerrero,Vladimir,R,R,ANA
guilj001,Guillen,Jose,R,R,ANA
halts001,Halter,Shane,R,R,ANA
hensm001,Hensley,Matt,R,R,ANA
kenna001,Kennedy,Adam,L,R,ANA
kotcc001,Kotchman,Casey,L,L,ANA
lackj001,Lackey,John,R,R,ANA
mcphd001,McPherson,Dallas,L,R,ANA
molib001,Molina,Bengie,R,R,ANA
molij001,Molina,Jose,R,R,ANA
mondr002,Mondesi,Raul,R,R,ANA
ortir002,Ortiz,Ramon,R,R,ANA
paulj001,Paul,Josh,R,R,ANA
perct001,Percival,Troy,R,R,ANA
pridc001,Pride,Curtis,L,R,ANA
quinr002,Quinlan,Robb,R,R,ANA
rigga001,Riggs,Adam,R,R,ANA
rodrf003,Rodriguez,Francisco,R,R,ANA
salmt001,Salmon,Tim,R,R,ANA
selea001,Sele,Aaron,R,R,ANA
shies002,Shields,Scot,R,R,ANA
turnd001,Turnbow,Derrick,R,R,ANA
washj001,Washburn,Jarrod,L,L,ANA
webeb001,Weber,Ben,R,R,ANA
alomr001,Alomar,Roberto,B,R,ARI
aquig001,Aquino,Greg,R,R,ARI
baerc001,Baerga,Carlos,B,R,ARI
bautd001,Bautista,Danny,R,R,ARI
britj002,Brito,Juan,R,R,ARI
brunb001,Bruney,Brian,R,R,ARI
choar001,Choate,Randy,L,L,ARI
cinta001,Cintron,Alex,B,R,ARI
colbg001,Colbrunn,Greg,R,R,ARI
corml001,Cormier,Lance,R,R,ARI
daigc001,Daigle,Casey,R,R,ARI
desse001,Dessens,Elmer,R,R,ARI
devod001,DeVore,Doug,L,L,ARI
durbc001,Durbin,Chad,R,R,ARI
estab001,Estalella,Bobby,R,R,ARI
fassj001,Fassero,Jeff,L,L,ARI
fettm001,Fetters,Mike,R,R,ARI
finls001,Finley,Steve,L,L,ARI
fossc001,Fossum,Casey,L,L,ARI
gil-j001,Gil,Jerry,R,R,ARI
gonze001,Gonzalez,Edgar,R,R,ARI
gonzl001,Gonzalez,Luis,L,R,ARI
gooda001,Good,Andrew,R,R,ARI
goslm001,Gosling,Mike,L,L,ARI
greea001,Green,Andy,R,R,ARI
hairs001,Hairston,Scott,R,R,ARI
hammr001,Hammock,Robby,R,R,ARI
hillk002,Hill,Koyie,B,R,ARI
hills002,Hillenbrand,Shea,R,R,ARI
johnr005,Johnson,Randy,R,L,ARI
katam001,Kata,Matt,B,R,ARI
koplm001,Koplove,Mike,R,R,ARI
kroej001,Kroeger,Josh,L,L,ARI
mantm001,Mantei,Matt,R,R,ARI
maynb001,Mayne,Brent,L,R,ARI
mccrq001,McCracken,Quinton,B,R,ARI
nancs001,Nance,Shane,L,L,ARI
olsot001,Olson,Tim,R,R,ARI
rands001,Randolph,Steve,L,L,ARI
reyns001,Reynolds,Shane,R,R,ARI
sadld001,Sadler,Donnie,R,R,ARI
servs001,Service,Scott,R,R,ARI
sexsr001,Sexson,Richie,R,R,ARI
snydc002,Snyder,Chris,R,R,ARI
spars001,Sparks,Steve,R,R,ARI
terrl001,Terrero,Luis,R,R,ARI
tracc001,Tracy,Chad,L,R,ARI
valvj001,Valverde,Jose,R,R,ARI
villb001,Villafuerte,Brandon,R,R,ARI
villo001,Villarreal,Oscar,L,R,ARI
webbb001,Webb,Brandon,R,R,ARI
zinta001,Zinter,Alan,B,R,ARI
alfoa001,Alfonseca,Antonio,R,R,ATL
almaa001,Almanza,Armando,L,L,ATL
betew001,Betemit,Wilson,B,R,ATL
byrdp001,Byrd,Paul,R,R,ATL
capej001,Capellan,Jose,R,R,ATL
color001,Colon,Roman,R,R,ATL
cruzj005,Cruz,Juan,R,R,ATL
cunnw001,Cunnane,Will,R,R,ATL
derom001,DeRosa,Mark,R,R,ATL
drewj001,Drew,J.D.,L,R,ATL
drewt001,Drew,Tim,R,R,ATL
estrj001,Estrada,Johnny,B,R,ATL
franj002,Franco,Julio,R,R,ATL
furcr001,Furcal,Rafael,B,R,ATL
garcj001,Garcia,Jesse,R,R,ATL
gilem001,Giles,Marcus,R,R,ATL
green001,Green,Nick,R,R,ATL
grybk001,Gryboski,Kevin,R,R,ATL
hampm001,Hampton,Mike,R,L,ATL
hessm001,Hessman,Mike,R,R,ATL
holld002,Hollins,Damon,R,L,ATL
jonea002,Jones,Andruw,R,R,ATL
jonec004,Jones,Chipper,B,R,ATL
laroa001,LaRoche,Adam,L,L,ATL
marre001,Marrero,Eli,R,R,ATL
martt003,Martin,Tom,L,L,ATL
mccos001,McConnell,Sam,L,L,ATL
meyed002,Meyer,Dan,R,L,ATL
nitkc001,Nitkowski,C.J.,L,L,ATL
ortir001,Ortiz,Russ,R,R,ATL
peree002,Perez,Eddie,R,R,ATL
ramih002,Ramirez,Horacio,L,L,ATL
reitc001,Reitsma,Chris,R,R,ATL
smitt001,Smith,Travis,R,R,ATL
smolj001,Smoltz,John,R,R,ATL
thomc001,Thomas,Charles,L,L,ATL
thomj005,Thomson,John,R,R,ATL
wised001,Wise,Dewayne,L,L,ATL
wrigj002,Wright,Jaret,R,R,ATL
ainsk001,Ainsworth,Kurt,R,R,BAL
bauer001,Bauer,Rick,R,R,BAL
bautd002,Bautista,Denny,R,R,BAL
bautj002,Bautista,Jose,R,R,BAL
bedae001,Bedard,Erik,L,L,BAL
bigbl001,Bigbie,Larry,L,R,BAL
borkd001,Borkowski,Dave,R,R,BAL
cabrd001,Cabrera,Daniel,R,R,BAL
chenb001,Chen,Bruce,L,L,BAL
cubid001,Cubillan,Darwin,R,R,BAL
custj001,Cust,Jack,L,R,BAL
dejem001,DeJean,Mike,R,R,BAL
duboe001,DuBose,Eric,L,L,BAL
garck002,Garcia,Karim,L,L,BAL
gibbj002,Gibbons,Jay,L,L,BAL
gil-g001,Gil,Geronimo,R,R,BAL
grimj001,Grimsley,Jason,R,R,BAL
groob001,Groom,Buddy,L,L,BAL
hairj002,Hairston,Jerry,R,R,BAL
huckk001,Huckaby,Ken,R,R,BAL
julij001,Julio,Jorge,R,R,BAL
leonj002,Leon,Jose,R,R,BAL
lopej001,Lopez,Javy,R,R,BAL
lopel002,Lopez,Luis,B,R,BAL
loper001,Lopez,Rodrigo,R,R,BAL
machr001,Machado,Robert,R,R,BAL
mainj001,Maine,John,R,R,BAL
majev001,Majewski,Val,L,L,BAL
matol001,Matos,Luis,R,R,BAL
mcdod002,McDonald,Darnell,R,R,BAL
moram002,Mora,Melvin,R,R,BAL
mottc001,Mottola,Chad,R,R,BAL
newhd001,Newhan,David,L,R,BAL
osikk001,Osik,Keith,R,R,BAL
palmr001,Palmeiro,Rafael,L,L,BAL
parrj003,Parrish,John,L,L,BAL
ponss001,Ponson,Sidney,R,R,BAL
raint002,Raines,Tim,R,R,BAL
rakea001,Rakers,Aaron,R,R,BAL
rilem001,Riley,Matt,L,L,BAL
robeb003,Roberts,Brian,B,R,BAL
rodre002,Rodriguez,Eddy,R,R,BAL
ryanb001,Ryan,B.J.,L,L,BAL
segud001,Segui,David,B,L,BAL
surhb001,Surhoff,B.J.,L,R,BAL
tejam001,Tejada,Miguel,R,R,BAL
willt001,Williams,Todd,R,R,BAL
adamt001,Adams,Terry,R,R,BOS
alvaa001,Alvarez,Abe,L,L,BOS
andej002,Anderson,Jimmy,L,L,BOS
arrob001,Arroyo,Bronson,R,R,BOS
astap001,Astacio,Pedro,R,R,BOS
bellm002,Bellhorn,Mark,B,R,BOS
browj004,Brown,Jamie,R,R,BOS
burke001,Burks,Ellis,R,R,BOS
cabro001,Cabrera,Orlando,R,R,BOS
castf001,Castillo,Frank,R,R,BOS
cresc001,Crespo,Cesar,B,R,BOS
damoj001,Damon,Johnny,L,L,BOS
daubb001,Daubach,Brian,L,R,BOS
dinal001,DiNardo,Lenny,L,L,BOS
domia001,Dominique,Andy,R,R,BOS
embra001,Embree,Alan,L,L,BOS
foulk001,Foulke,Keith,R,R,BOS
garcn001,Garciaparra,Nomar,R,R,BOS
gutir001,Gutierrez,Ricky,R,R,BOS
hyzda001,Hyzdu,Adam,R,R,BOS
joneb004,Jones,Bobby,R,L,BOS
kaplg001,Kapler,Gabe,R,R,BOS
kim-b001,Kim,Byung-Hyun,R,R,BOS
leskc001,Leskanic,Curt,R,R,BOS
lowed001,Lowe,Derek,R,R,BOS
malam001,Malaska,Mark,L,L,BOS
marta002,Martinez,Sandy,L,R,BOS
marta003,Martinez,Anastacio,R,R,BOS
martp001,Martinez,Pedro,R,R,BOS
mccad001,McCarty,Dave,R,L,BOS
mendr001,Mendoza,Ramiro,R,R,BOS
miend001,Mientkiewicz,Doug,L,R,BOS
millk005,Millar,Kevin,R,R,BOS
mirad001,Mirabelli,Doug,R,R,BOS
muelb001,Mueller,Bill,B,R,BOS
myerm001,Myers,Mike,L,L,BOS
nelsj002,Nelson,Joe,R,R,BOS
nixot001,Nixon,Trot,L,L,BOS
ortid001,Ortiz,David,L,L,BOS
ramim002,Ramirez,Manny,R,R,BOS
reesp001,Reese,Pokey,R,R,BOS
robed001,Roberts,Dave,L,L,BOS
schic002,Schilling,Curt,R,R,BOS
seibp001,Seibel,Phil,L,L,BOS
snyde001,Snyder,Earl,R,R,BOS
timlm001,Timlin,Mike,R,R,BOS
varij001,Varitek,Jason,B,R,BOS
waket001,Wakefield,Tim,R,R,BOS
wills002,Williamson,Scott,R,R,BOS
youkk001,Youkilis,Kevin,R,R,BOS
adkij001,Adkins,Jon,L,R,CHA
alomr001,Alomar,Roberto,B,R,CHA
aloms001,Alomar,Sandy,R,R,CHA
bajej001,Bajenaru,Jeff,R,R,CHA
borcj001,Borchard,Joe,B,R,CHA
buehm001,Buehrle,Mark,L,L,CHA
burkj003,Burke,Jamie,R,R,CHA
contj002,Contreras,Jose,R,R,CHA
cottn001,Cotts,Neal,L,L,CHA
credj001,Crede,Joe,R,R,CHA
darev001,Darensbourg,Vic,L,L,CHA
davib003,Davis,Ben,B,R,CHA
diazf001,Diaz,Felix,R,R,CHA
drank001,Dransfeldt,Kelly,R,R,CHA
everc001,Everett,Carl,B,R,CHA
garcf002,Garcia,Freddy,R,R,CHA
garlj001,Garland,Jon,R,R,CHA
gloar001,Gload,Ross,L,L,CHA
grilj001,Grilli,Jason,R,R,CHA
harrw001,Harris,Willie,L,R,CHA
jackm001,Jackson,Michael,R,R,CHA
kochb001,Koch,Billy,R,R,CHA
konep001,Konerko,Paul,R,R,CHA
lee-c001,Lee,Carlos,R,R,CHA
loaie001,Loaiza,Esteban,R,R,CHA
martd004,Marte,Damaso,L,L,CHA
munoa001,Munoz,Arnie,L,L,CHA
olivm001,Olivo,Miguel,R,R,CHA
ordom001,Ordonez,Magglio,R,R,CHA
