PlayerID,LastName,FirstName,Bats,Pitches,Team
adenn001,Adenhart,Nick,R,R,ANA
andeg001,Anderson,Garret,L,L,ANA
arrej001,Arredondo,Jose,R,R,ANA
aybae001,Aybar,Erick,B,R,ANA
bootc001,Bootcheck,Chris,R,R,ANA
browm006,Brown,Matthew,R,R,ANA
buddr001,Budde,Ryan,R,R,ANA
bulgj001,Bulger,Jason,R,R,ANA
figgc001,Figgins,Chone,B,R,ANA
garlj001,Garland,Jon,R,R,ANA
guerv001,Guerrero,Vladimir,R,R,ANA
huntt001,Hunter,Torii,R,R,ANA
iztum001,Izturis,Maicer,B,R,ANA
jepsk001,Jepsen,Kevin,R,R,ANA
kendh001,Kendrick,Howie,R,R,ANA
kotcc001,Kotchman,Casey,L,L,ANA
lackj001,Lackey,John,R,R,ANA
louxs001,Loux,Shane,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
mattg002,Matthews,Gary,B,R,ANA
morak001,Morales,Kendrys,B,R,ANA
mosed001,Moseley,Dustin,R,R,ANA
napom001,Napoli,Mike,R,R,ANA
odayd001,O'Day,Darren,R,R,ANA
olivd001,Oliver,Darren,R,L,ANA
quinr002,Quinlan,Robb,R,R,ANA
rivej001,Rivera,Juan,R,R,ANA
rodrf003,Rodriguez,Francisco,R,R,ANA
rodrs002,Rodriguez,Sean,R,R,ANA
sandf001,Sandoval,Freddy,B,R,ANA
sante001,Santana,Ervin,R,R,ANA
saunj001,Saunders,Joe,L,L,ANA
serra001,Serrano,Alex,R,R,ANA
shies002,Shields,Scot,R,R,ANA
speij001,Speier,Justin,R,R,ANA
teixm001,Teixeira,Mark,B,R,ANA
thomr006,Thompson,Rich,R,R,ANA
weavj003,Weaver,Jered,R,R,ANA
willr004,Willits,Reggie,B,R,ANA
wilsb002,Wilson,Bobby,R,R,ANA
woodb003,Wood,Brandon,R,R,ANA
bonie001,Bonifacio,Emilio,B,R,ARI
buckb002,Buckner,Billy,R,R,ARI
burkc001,Burke,Chris,R,R,ARI
byrne001,Byrnes,Eric,R,R,ARI
clart002,Clark,Tony,B,R,ARI
cruzj005,Cruz,Juan,R,R,ARI
dantj001,D'Antona,Jamie,R,R,ARI
david002,Davis,Doug,R,L,ARI
drews001,Drew,Stephen,L,R,ARI
dunna001,Dunn,Adam,L,R,ARI
ecksd001,Eckstein,David,R,R,ARI
gonze001,Gonzalez,Edgar,R,R,ARI
hammr001,Hammock,Robby,R,R,ARI
hared001,Haren,Dan,R,R,ARI
hudso001,Hudson,Orlando,B,R,ARI
jackc002,Jackson,Conor,R,R,ARI
johnr005,Johnson,Randy,R,L,ARI
ledew001,Ledezma,Wil,L,L,ARI
lyonb003,Lyon,Brandon,R,R,ARI
meddb001,Medders,Brandon,R,R,ARI
montm001,Montero,Miguel,L,R,ARI
ojeda001,Ojeda,Augie,B,R,ARI
owinm001,Owings,Micah,R,R,ARI
peguj002,Peguero,Jailen,R,R,ARI
penat003,Pena,Tony,R,R,ARI
petiy001,Petit,Yusmeiro,R,R,ARI
qualc001,Qualls,Chad,R,R,ARI
raucj001,Rauch,Jon,R,R,ARI
reynm001,Reynolds,Mark,R,R,ARI
robec002,Robertson,Connor,R,R,ARI
romea001,Romero,Alex,L,R,ARI
rosal001,Rosales,Leo,R,R,ARI
salaj002,Salazar,Jeff,L,L,ARI
schem001,Scherzer,Max,R,R,ARI
slatd001,Slaten,Doug,L,L,ARI
snydc002,Snyder,Chris,R,R,ARI
tracc001,Tracy,Chad,L,R,ARI
uptoj001,Upton,Justin,R,R,ARI
webbb001,Webb,Brandon,R,R,ARI
whitj002,Whitesell,Josh,L,L,ARI
younc004,Young,Chris,R,R,ARI
acosm001,Acosta,Manny,R,R,ATL
andej004,Anderson,Josh,L,R,ATL
bennj002,Bennett,Jeff,R,R,ATL
blang001,Blanco,Gregor,L,L,ATL
boyeb001,Boyer,Blaine,R,R,ATL
buenf001,Bueno,Francisley,L,L,ATL
campj002,Campillo,Jorge,R,R,ATL
carlb001,Carlyle,Buddy,L,R,ATL
desam001,DeSalvo,Matt,R,R,ATL
desse001,Dessens,Elmer,R,R,ATL
diazm003,Diaz,Matt,R,R,ATL
escoy001,Escobar,Yunel,R,R,ATL
franj004,Francoeur,Jeff,R,R,ATL
glavt001,Glavine,Tom,L,L,ATL
gonzm001,Gonzalez,Mike,R,L,ATL
gotar001,Gotay,Ruben,B,R,ATL
hampm001,Hampton,Mike,R,L,ATL
hudst001,Hudson,Tim,R,R,ATL
infao001,Infante,Omar,R,R,ATL
jamec002,James,Chuck,L,L,ATL
johnk003,Johnson,Kelly,L,R,ATL
joneb005,Jones,Brandon,L,R,ATL
jonec004,Jones,Chipper,B,R,ATL
julij001,Julio,Jorge,R,R,ATL
jurrj001,Jurrjens,Jair,R,R,ATL
kotcc001,Kotchman,Casey,L,L,ATL
kotsm001,Kotsay,Mark,L,L,ATL
lillb001,Lillibridge,Brent,R,R,ATL
mccab002,McCann,Brian,L,R,ATL
millc001,Miller,Corky,R,R,ATL
mortc002,Morton,Charlie,R,R,ATL
moylp001,Moylan,Peter,R,R,ATL
nortg001,Norton,Greg,B,R,ATL
nunev001,Nunez,Vladimir,R,R,ATL
ohmaw001,Ohman,Will,L,L,ATL
parrj004,Parr,James,R,R,ATL
penab002,Pena,Brayan,B,R,ATL
perrj001,Perry,Jason,L,R,ATL
pradm001,Prado,Martin,R,R,ATL
resoc001,Resop,Chris,R,R,ATL
reyej003,Reyes,Jo-Jo,L,L,ATL
ridgj001,Ridgway,Jeff,R,L,ATL
ringr001,Ring,Royce,L,L,ATL
sammc001,Sammons,Clint,R,R,ATL
