PlayerID,LastName,FirstName,Bats,Pitches,Team
abreb001,Abreu,Bobby,L,R,ANA
amara001,Amarista,Alexi,L,R,ANA
aybae001,Aybar,Erick,B,R,ANA
bellt002,Bell,Trevor,L,R,ANA
bourp001,Bourjos,Peter,R,R,ANA
branr001,Branyan,Russell,L,R,ANA
bulgj001,Bulger,Jason,R,R,ANA
calla001,Callaspo,Alberto,B,R,ANA
cassb001,Cassevah,Bobby,R,R,ANA
chatt001,Chatwood,Tyler,R,R,ANA
congh001,Conger,Hank,B,R,ANA
downs001,Downs,Scott,L,L,ANA
hared001,Haren,Dan,R,R,ANA
huntt001,Hunter,Torii,R,R,ANA
iztum001,Izturis,Maicer,B,R,ANA
jepsk001,Jepsen,Kevin,R,R,ANA
kazms001,Kazmir,Scott,L,L,ANA
kendh001,Kendrick,Howie,R,R,ANA
kohnm001,Kohn,Michael,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
moorj001,Moore,Jeremy,L,R,ANA
navae001,Navarro,Efren,L,L,ANA
palmm001,Palmer,Matt,R,R,ANA
pettc001,Pettit,Chris,R,R,ANA
pinej001,Pineiro,Joel,R,R,ANA
ramih002,Ramirez,Horacio,L,L,ANA
richg002,Richards,Garrett,R,R,ANA
rodnf001,Rodney,Fernando,R,R,ANA
rodrf005,Rodriguez,Francisco,R,R,ANA
romia001,Romine,Andrew,B,R,ANA
sante001,Santana,Ervin,R,R,ANA
takah001,Takahashi,Hisanori,L,L,ANA
thomr006,Thompson,Rich,R,R,ANA
troum001,Trout,Mike,R,R,ANA
trumm001,Trumbo,Mark,R,R,ANA
velag002,Velazquez,Gil,R,R,ANA
waldj001,Walden,Jordan,R,R,ANA
weavj003,Weaver,Jered,R,R,ANA
wellv001,Wells,Vernon,R,R,ANA
willj003,Williams,Jerome,R,R,ANA
willr004,Willits,Reggie,B,R,ANA
wilsb002,Wilson,Bobby,R,R,ANA
woodb003,Wood,Brandon,R,R,ANA
alleb001,Allen,Brandon,L,R,ARI
blanh001,Blanco,Henry,R,R,ARI
bloow001,Bloomquist,Willie,R,R,ARI
blumg001,Blum,Geoff,B,R,ARI
branr001,Branyan,Russell,L,R,ARI
brazy001,Brazoban,Yhency,R,R,ARI
burrs001,Burroughs,Sean,L,R,ARI
casta002,Castillo,Alberto,L,L,ARI
collj001,Collmenter,Josh,R,R,ARI
cookr001,Cook,Ryan,R,R,ARI
cowgc001,Cowgill,Collin,R,L,ARI
demes001,Demel,Sam,R,R,ARI
drews001,Drew,Stephen,L,R,ARI
dukez001,Duke,Zach,L,L,ARI
enrib001,Enright,Barry,R,R,ARI
galaa002,Galarraga,Armando,R,R,ARI
gillc002,Gillespie,Cole,R,R,ARI
goldp001,Goldschmidt,Paul,R,R,ARI
gutij002,Gutierrez,Juan,R,R,ARI
hammr001,Hammock,Robby,R,R,ARI
heila001,Heilman,Aaron,R,R,ARI
hernd002,Hernandez,David,R,R,ARI
hilla001,Hill,Aaron,R,R,ARI
hudsd001,Hudson,Daniel,R,R,ARI
johnk003,Johnson,Kelly,L,R,ARI
kenni001,Kennedy,Ian,R,R,ARI
kroez001,Kroenke,Zach,R,L,ARI
marqj001,Marquis,Jason,L,R,ARI
mcdoj003,McDonald,John,R,R,ARI
mickk001,Mickolio,Kameron,R,R,ARI
milew001,Miley,Wade,L,L,ARI
miraj001,Miranda,Juan,L,L,ARI
montm001,Montero,Miguel,L,R,ARI
moram002,Mora,Melvin,R,R,ARI
nadyx001,Nady,Xavier,R,R,ARI
overl001,Overbay,Lyle,L,L,ARI
owinm001,Owings,Micah,R,R,ARI
parkj001,Parker,Jarrod,R,R,ARI
parrg001,Parra,Gerardo,L,L,ARI
patej001,Paterson,Joe,R,L,ARI
penaw001,Pena,Wily Mo,R,R,ARI
putzj001,Putz,J.J.,R,R,ARI
ransc001,Ransom,Cody,R,R,ARI
